user_id,game_name,payment_month,total_revenue,total_revenue_previous,status,age,has_older_device_model,language
VTaIkhD9hJKcnvA6Kw5p9g==,game 3,2022-10-01,40.74,28.32,active,25,False,ru
VTaIkhD9hJKcnvA6Kw5p9g==,game 3,2022-11-01,161.94,40.74,active,25,False,ru
VTaIkhD9hJKcnvA6Kw5p9g==,game 3,2022-12-01,76.80000000000001,161.94,active,25,False,ru
Veep00i4vvZbTAVD6GMoiA==,game 3,2022-03-01,12.72,0.0,new,38,False,uk
Veep00i4vvZbTAVD6GMoiA==,game 3,2022-04-01,48.330000000000005,12.72,active,38,False,uk
Veep00i4vvZbTAVD6GMoiA==,game 3,2022-05-01,0.0,48.330000000000005,churn,38,False,uk
Veep00i4vvZbTAVD6GMoiA==,game 3,2022-06-01,36.78,0.0,back,38,False,uk
Veep00i4vvZbTAVD6GMoiA==,game 3,2022-07-01,31.26,36.78,active,38,False,uk
Veep00i4vvZbTAVD6GMoiA==,game 3,2022-08-01,69.36,31.26,active,38,False,uk
Veep00i4vvZbTAVD6GMoiA==,game 3,2022-09-01,49.53,69.36,active,38,False,uk
Veep00i4vvZbTAVD6GMoiA==,game 3,2022-10-01,126.83999999999999,49.53,active,38,False,uk
Veep00i4vvZbTAVD6GMoiA==,game 3,2022-11-01,14.85,126.83999999999999,active,38,False,uk
Veep00i4vvZbTAVD6GMoiA==,game 3,2022-12-01,0.0,14.85,churn,38,False,uk
Vn7Z6/B2x4f/w8R6xVfw5w==,game 3,2022-03-01,0.0,0.0,deactive,18,False,uk
Vn7Z6/B2x4f/w8R6xVfw5w==,game 3,2022-04-01,0.0,0.0,deactive,18,False,uk
Vn7Z6/B2x4f/w8R6xVfw5w==,game 3,2022-05-01,0.0,0.0,deactive,18,False,uk
Vn7Z6/B2x4f/w8R6xVfw5w==,game 3,2022-06-01,0.0,0.0,deactive,18,False,uk
Vn7Z6/B2x4f/w8R6xVfw5w==,game 3,2022-07-01,21.81,0.0,new,18,False,uk
Vn7Z6/B2x4f/w8R6xVfw5w==,game 3,2022-08-01,73.2,21.81,active,18,False,uk
Vn7Z6/B2x4f/w8R6xVfw5w==,game 3,2022-09-01,72.53999999999999,73.2,active,18,False,uk
Vn7Z6/B2x4f/w8R6xVfw5w==,game 3,2022-10-01,67.08,72.53999999999999,active,18,False,uk
Vn7Z6/B2x4f/w8R6xVfw5w==,game 3,2022-11-01,0.0,67.08,churn,18,False,uk
Vn7Z6/B2x4f/w8R6xVfw5w==,game 3,2022-12-01,39.39,0.0,back,18,False,uk
VsqfOK9/JhBXzScG5Ybudg==,game 3,2022-03-01,0.0,0.0,deactive,35,False,uk
VsqfOK9/JhBXzScG5Ybudg==,game 3,2022-04-01,0.0,0.0,deactive,35,False,uk
VsqfOK9/JhBXzScG5Ybudg==,game 3,2022-05-01,0.0,0.0,deactive,35,False,uk
VsqfOK9/JhBXzScG5Ybudg==,game 3,2022-06-01,0.0,0.0,deactive,35,False,uk
VsqfOK9/JhBXzScG5Ybudg==,game 3,2022-07-01,0.0,0.0,deactive,35,False,uk
VsqfOK9/JhBXzScG5Ybudg==,game 3,2022-08-01,0.0,0.0,deactive,35,False,uk
VsqfOK9/JhBXzScG5Ybudg==,game 3,2022-09-01,0.0,0.0,deactive,35,False,uk
VsqfOK9/JhBXzScG5Ybudg==,game 3,2022-10-01,0.0,0.0,deactive,35,False,uk
VsqfOK9/JhBXzScG5Ybudg==,game 3,2022-11-01,15.66,0.0,new,35,False,uk
VsqfOK9/JhBXzScG5Ybudg==,game 3,2022-12-01,0.0,15.66,churn,35,False,uk
Vtl1tAkN8ajIRaOwKulKyQ==,game 3,2022-03-01,0.0,0.0,deactive,25,False,uk
Vtl1tAkN8ajIRaOwKulKyQ==,game 3,2022-04-01,0.0,0.0,deactive,25,False,uk
Vtl1tAkN8ajIRaOwKulKyQ==,game 3,2022-05-01,0.0,0.0,deactive,25,False,uk
Vtl1tAkN8ajIRaOwKulKyQ==,game 3,2022-06-01,0.0,0.0,deactive,25,False,uk
Vtl1tAkN8ajIRaOwKulKyQ==,game 3,2022-07-01,0.0,0.0,deactive,25,False,uk
Vtl1tAkN8ajIRaOwKulKyQ==,game 3,2022-08-01,0.0,0.0,deactive,25,False,uk
Vtl1tAkN8ajIRaOwKulKyQ==,game 3,2022-09-01,0.0,0.0,deactive,25,False,uk
Vtl1tAkN8ajIRaOwKulKyQ==,game 3,2022-10-01,42.0,0.0,new,25,False,uk
Vtl1tAkN8ajIRaOwKulKyQ==,game 3,2022-11-01,21.9,42.0,active,25,False,uk
Vtl1tAkN8ajIRaOwKulKyQ==,game 3,2022-12-01,56.58,21.9,active,25,False,uk
VzxrkGURuahRUx/43mjAFQ==,game 3,2022-03-01,0.0,0.0,deactive,37,False,uk
VzxrkGURuahRUx/43mjAFQ==,game 3,2022-04-01,0.0,0.0,deactive,37,False,uk
VzxrkGURuahRUx/43mjAFQ==,game 3,2022-05-01,0.0,0.0,deactive,37,False,uk
VzxrkGURuahRUx/43mjAFQ==,game 3,2022-06-01,0.0,0.0,deactive,37,False,uk
VzxrkGURuahRUx/43mjAFQ==,game 3,2022-07-01,17.16,0.0,new,37,False,uk
VzxrkGURuahRUx/43mjAFQ==,game 3,2022-08-01,39.480000000000004,17.16,active,37,False,uk
VzxrkGURuahRUx/43mjAFQ==,game 3,2022-09-01,0.0,39.480000000000004,churn,37,False,uk
VzxrkGURuahRUx/43mjAFQ==,game 3,2022-10-01,12.33,0.0,back,37,False,uk
VzxrkGURuahRUx/43mjAFQ==,game 3,2022-11-01,0.0,12.33,churn,37,False,uk
VzxrkGURuahRUx/43mjAFQ==,game 3,2022-12-01,0.0,0.0,deactive,37,False,uk
W6fRYNhsTNHQkvkoFEUaVQ==,game 3,2022-03-01,48.33,0.0,new,16,False,uk
W6fRYNhsTNHQkvkoFEUaVQ==,game 3,2022-04-01,57.72,48.33,active,16,False,uk
W6fRYNhsTNHQkvkoFEUaVQ==,game 3,2022-05-01,95.91,57.72,active,16,False,uk
W6fRYNhsTNHQkvkoFEUaVQ==,game 3,2022-06-01,55.019999999999996,95.91,active,16,False,uk
W6fRYNhsTNHQkvkoFEUaVQ==,game 3,2022-07-01,96.51,55.019999999999996,active,16,False,uk
W6fRYNhsTNHQkvkoFEUaVQ==,game 3,2022-08-01,0.0,96.51,churn,16,False,uk
W6fRYNhsTNHQkvkoFEUaVQ==,game 3,2022-09-01,43.5,0.0,back,16,False,uk
W6fRYNhsTNHQkvkoFEUaVQ==,game 3,2022-10-01,36.03,43.5,active,16,False,uk
W6fRYNhsTNHQkvkoFEUaVQ==,game 3,2022-11-01,0.0,36.03,churn,16,False,uk
W6fRYNhsTNHQkvkoFEUaVQ==,game 3,2022-12-01,39.18,0.0,back,16,False,uk
WAdVK2sJHdBL0bCFyVa0ww==,game 3,2022-03-01,0.0,0.0,deactive,14,False,uk
WAdVK2sJHdBL0bCFyVa0ww==,game 3,2022-04-01,24.09,0.0,new,14,False,uk
WAdVK2sJHdBL0bCFyVa0ww==,game 3,2022-05-01,0.0,24.09,churn,14,False,uk
WAdVK2sJHdBL0bCFyVa0ww==,game 3,2022-06-01,0.0,0.0,deactive,14,False,uk
WAdVK2sJHdBL0bCFyVa0ww==,game 3,2022-07-01,0.0,0.0,deactive,14,False,uk
WAdVK2sJHdBL0bCFyVa0ww==,game 3,2022-08-01,0.0,0.0,deactive,14,False,uk
WAdVK2sJHdBL0bCFyVa0ww==,game 3,2022-09-01,0.0,0.0,deactive,14,False,uk
WAdVK2sJHdBL0bCFyVa0ww==,game 3,2022-10-01,0.0,0.0,deactive,14,False,uk
WAdVK2sJHdBL0bCFyVa0ww==,game 3,2022-11-01,0.0,0.0,deactive,14,False,uk
WAdVK2sJHdBL0bCFyVa0ww==,game 3,2022-12-01,0.0,0.0,deactive,14,False,uk
